GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TAU6.1,org.example,NotesServiceImpl,0,49,0,2,0,14,0,6,0,5
TAU6.1,org.example,Note,0,15,0,0,0,6,0,3,0,3
